word,distance,targetword,spacetime
thanksgiving,0.2509247660636902,long,time
merrily,0.2507222294807434,long,other
spare,0.2506595551967621,long,other
leader,0.2506471872329712,long,other
seventy,0.25037717819213867,long,other
flowing,0.25020357966423035,long,other
franklin,0.25017422437667847,long,other
sleepy,0.2501625418663025,long,other
greatest,0.2500064969062805,long,other
fun,0.24998585879802704,long,other
relaxing,0.24991053342819214,long,other
january,0.24978269636631012,long,time
appropriate,0.24973344802856445,long,other
mine,0.2496812492609024,long,other
days,0.24962158501148224,long,time
apartments,0.24947354197502136,long,other
great,0.24945810437202454,long,other
celebrate,0.24929825961589813,long,other
neater,0.2492433339357376,long,other
michael,0.24898764491081238,long,other
aurora,0.24859213829040527,long,other
safe,0.24809740483760834,long,other
mar,0.2480909824371338,long,other
gordon,0.24803800880908966,long,other
frederick,0.24798038601875305,long,other
exclaimed,0.24793949723243713,long,other
cents,0.2479262351989746,long,other
cinderella,0.24779470264911652,long,other
asleep,0.24762214720249176,long,other
unhappy,0.24752691388130188,long,other
cooked,0.2474396973848343,long,other
ruler,0.24729086458683014,long,space
enough,0.24715915322303772,long,other
ounces,0.24709396064281464,long,other
gog,0.2470894604921341,long,other
fudge,0.2469705194234848,long,other
shiny,0.2467316836118698,long,other
worth,0.24667669832706451,long,other
mr,0.24635697901248932,long,other
pigtails,0.24626004695892334,long,other
loudly,0.24617981910705566,long,other
halloween,0.24610929191112518,long,other
scene,0.24607239663600922,long,both
eight,0.24605673551559448,long,other
yawn,0.2460501790046692,long,other
summertime,0.24581530690193176,long,time
amazing,0.2457558810710907,long,other
baby_donald,0.24564920365810394,long,other
mines,0.24560022354125977,long,other
fingernails,0.24536406993865967,long,other
suddenly,0.2453460395336151,long,time
boops,0.24524644017219543,long,other
just,0.24484971165657043,long,other
confusing,0.24470116198062897,long,other
splinters,0.24448075890541077,long,other
mammoths,0.2443016767501831,long,other
fifteen,0.24429985880851746,long,other
sirens,0.2442816197872162,long,other
glider,0.24415546655654907,long,other
earth,0.24410484731197357,long,other
involved,0.24407103657722473,long,other
upset,0.24399088323116302,long,other
trial,0.24379828572273254,long,other
peacefully,0.24340271949768066,long,other
disgusting,0.2433711588382721,long,other
bushy,0.24324050545692444,long,other
meanwhile,0.24322307109832764,long,time
true,0.24310585856437683,long,other
wet,0.24285732209682465,long,other
eighteen,0.24258175492286682,long,other
cathy,0.24250911176204681,long,other
sled,0.24237149953842163,long,other
