word,similarity, targetword,spacetime
quitters,0.248866528,long,O
ragged,0.269014835,long,O
rapidly,0.267565906,long,B
reclassified,0.300391585,long,O
reddicliffe,0.260036439,long,O
regimented,0.25505054,long,O
relearn,0.258372724,long,O
repetitiveness,0.273098052,long,B
resilient,0.245037615,long,O
rest,0.271432817,long,O
result,0.273673207,long,O
retrogressive,0.289044917,long,T
rewarding,0.249027193,long,O
rhode,0.37275809,long,O
rigid,0.283596098,long,O
rikers,0.349013716,long,O
ripe,0.31251502,long,O
risky,0.32394892,long,O
robben,0.373636544,long,O
rough,0.38168484,long,O
rst,0.290547431,long,O
sadly,0.269882143,long,O
salaz,0.273700982,long,O
same,0.333068132,long,O
savo,0.276664317,long,O
scarce,0.245195925,long,B
second,0.30692178,long,T
secretive,0.247876495,long,O
seining,0.337894559,long,O
seldom,0.263964951,long,T
senescence,0.255973369,long,O
sensibly,0.284099489,long,O
septembers,0.301647097,long,T
seriously,0.37408638,long,O
severe,0.284682006,long,O
sexily,0.30527091,long,O
shallow,0.250530094,long,S
shallowly,0.267109156,long,S
sharp,0.301941633,long,O
short,0.74535358,long,B
shortened,0.318297446,long,B
shorter,0.327285171,long,B
shortest,0.326463401,long,B
shortly,0.326465845,long,T
showy,0.256033838,long,O
siesta,0.252085984,long,T
silent,0.265266031,long,O
simple,0.301270604,long,O
skeena,0.255893856,long,O
skinny,0.262057811,long,S
slack,0.256032228,long,O
slim,0.25791201,long,S
slippery,0.274531335,long,O
sloppily,0.261324227,long,O
slow,0.323301226,long,B
slowly,0.298547953,long,B
small,0.269426554,long,S
smooth,0.308844328,long,O
smoothly,0.277553082,long,O
soft,0.26465714,long,O
solitary,0.28203553,long,O
soon,0.464603901,long,T
sore,0.294203639,long,O
sparse,0.318994701,long,B
spindly,0.293706477,long,S
spraddle,0.294836879,long,O
sprawlers,0.29473415,long,O
staten,0.326585472,long,O
steadily,0.246100381,long,O
steady,0.311819494,long,B
steep,0.315805227,long,S
stiff,0.386281431,long,O
stilt,0.276203215,long,O
stingy,0.248544037,long,O
stoically,0.309045106,long,O
straight,0.286410719,long,S
strenuous,0.32052511,long,O
stressful,0.2962358,long,O
strong,0.28072536,long,O
stubborn,0.306314409,long,O
stubby,0.273169279,long,S
such,0.31395179,long,O
suent,0.2480326,long,O
sume,0.254581839,long,O
summers,0.30350405,long,T
supple,0.290368736,long,O
synonym,0.333744168,long,O
tall,0.318091244,long,S
tame,0.300506592,long,O
tarring,0.258618742,long,O
tarry,0.249962062,long,O
tateh,0.276654601,long,O
taut,0.280157804,long,O
tedious,0.269423097,long,O
tempting,0.280256033,long,O
tenaciously,0.269126743,long,O
tenday,0.282450616,long,T
tense,0.336489201,long,O
tenuous,0.259956539,long,O
thankful,0.312643081,long,O
thayut,0.254479021,long,O
thick,0.382835299,long,S
thickly,0.282265842,long,S
thin,0.340362787,long,S
tight,0.417561769,long,B
tightly,0.290060043,long,S
till,0.324647665,long,T
timid,0.255655289,long,O
tired,0.27585569,long,O
tiresome,0.266357481,long,O
tiring,0.426361233,long,O
tombed,0.254740149,long,S
torpid,0.283266604,long,O
torturous,0.248949111,long,O
touchy,0.249082968,long,O
tough,0.348009765,long,O
toughly,0.278724164,long,O
traumatic,0.290034235,long,O
traumatizing,0.311413407,long,O
tricky,0.264473021,long,O
turbulent,0.253716588,long,O
twelvemonth,0.398149848,long,T
typecast,0.266856283,long,O
umpteenth,0.393845439,long,T
unaccounted,0.303331614,long,O
unbred,0.263455689,long,O
uncommon,0.249951094,long,O
undramatic,0.330319643,long,O
uneventful,0.294778287,long,O
unexpired,0.423896194,long,T
unfashionable,0.287588298,long,O
unsubstantial,0.278340042,long,O
untame,0.28059876,long,O
until,0.272013068,long,T
usual,0.331752658,long,O
utde,0.256623268,long,O
utna,0.250099689,long,O
vacuous,0.25624454,long,S
vain,0.296960354,long,O
valon,0.273936152,long,O
vashon,0.245459199,long,O
vears,0.4029001,long,O
vethulf,0.279013783,long,O
wanes,0.274277627,long,B
wasting,0.252625227,long,O
wavy,0.247342378,long,S
weak,0.282651782,long,O
weary,0.269589156,long,O
weeks,0.311951607,long,T
well,0.34653759,long,O
weu,0.360551476,long,O
while,0.31985569,long,T
whippings,0.267450154,long,O
whole,0.264482677,long,B
wide,0.321694553,long,S
winter,0.246642157,long,T
winters,0.269588113,long,T
wispy,0.278606445,long,O
wobbly,0.246183261,long,O
wraith,0.246570766,long,O
wrangel,0.269386262,long,O
years,0.314752042,long,T
yl,0.284394383,long,O
