word,similarity, targetword,spacetime
tight,0.435915411,short,S
till,0.328388453,short,T
timid,0.30724591,short,O
tippet,0.290427506,short,O
tiresome,0.312864333,short,O
tiring,0.426132679,short,O
tomor,0.272930354,short,O
tootin,0.315778852,short,O
touchy,0.293042183,short,O
tough,0.364881217,short,O
toughly,0.27733779,short,O
traumatic,0.2746481,short,O
tricky,0.401744246,short,O
trouser,0.269588083,short,O
turny,0.273294985,short,O
twelvemonth,0.301263958,short,T
typically,0.291420221,short,O
umpteenth,0.319504142,short,T
uncomplicated,0.315184176,short,O
uncool,0.271136105,short,O
underpowered,0.281481653,short,O
undervalued,0.271593094,short,O
unemotional,0.27721855,short,O
uneventful,0.326601684,short,O
unexpired,0.445938706,short,T
uninterrupted,0.268431008,short,O
unsatisfying,0.268949926,short,O
until,0.320265502,short,T
unwise,0.300874829,short,O
uppers,0.293850064,short,O
usually,0.296689987,short,T
vain,0.290880322,short,O
vanlandscho,0.273579955,short,O
verbose,0.292379439,short,O
vertical,0.339799285,short,S
vethulf,0.305380046,short,O
virage,0.274790108,short,O
vowel,0.274475306,short,O
waisted,0.326875776,short,O
warmup,0.295330226,short,O
warp,0.268346876,short,B
wavy,0.275391698,short,B
weak,0.330371141,short,O
while,0.277960062,short,T
wide,0.344509453,short,S
wimpy,0.29218173,short,O
wincingly,0.315808117,short,O
winded,0.291719913,short,O
wise,0.27481097,short,O
wiseass,0.28452009,short,O
wispy,0.316553146,short,O
wobbly,0.332320958,short,O
worrisome,0.282482684,short,O
yl,0.302180231,short,O
