word,id,neighborto,spacetime,comment,comparisonword,distance
semi,768,short,o,,short,0.856
sensitive,769,short,o,,short,0.867
separate,770,short,o,,short,0.857
separately,771,short,o,,short,0.846
sequence,772,short,b,,short,0.859
sequences,773,short,b,,short,0.839
series,774,short,b,,short,0.833
serious,775,short,o,,short,0.867
setting,776,short,o,,short,0.788
seven,777,short,o,,short,0.881
several,778,short,o,,short,0.803
sharp,779,short,o,,short,0.822
shock,780,short,o,,short,0.887
shooting,781,short,o,,short,0.886
shortened,782,short,b,,short,0.774
shorter,783,short,b,,short,0.628
shortest,784,short,b,,short,0.751
shortly,785,short,b,,short,0.88
shot,786,short,o,,short,0.889
shows,787,short,o,,short,0.853
side,788,short,s,?,short,0.874
signature,789,short,o,,short,0.813
silent,790,short,o,,short,0.767
silver,791,short,o,,short,0.835
similar,792,short,o,,short,0.73
similarly,793,short,o,,short,0.793
simple,794,short,o,,short,0.691
simplest,795,short,o,,short,0.864
simplified,796,short,o,,short,0.82
simply,797,short,o,,short,0.856
single,798,short,o,,short,0.698
singular,799,short,o,,short,0.849
six,800,short,o,,short,0.861
sketches,801,short,o,,short,0.885
slow,802,short,b,,short,0.878
small,803,short,s,?,short,0.755
smart,804,short,o,,short,0.883
smooth,805,short,o,,short,0.859
snow,806,short,o,,short,0.763
soft,807,short,o,,short,0.832
sole,808,short,o,,short,0.886
solo,809,short,o,,short,0.868
some,810,short,o,,short,0.817
sometimes,811,short,t,,short,0.856
somewhat,812,short,o,,short,0.885
sonata,813,short,o,,short,0.89
song,814,short,o,,short,0.886
soon,815,short,t,,short,0.875
sort,816,short,o,,short,0.858
sorts,817,short,o,,short,0.877
sound,818,short,o,,short,0.821
southern,819,short,o,,short,0.86
space,820,short,s,,short,0.851
span,821,short,b,,short,0.851
spanish,822,short,o,,short,0.884
spare,823,short,o,,short,0.865
spears,824,short,o,,short,0.819
special,825,short,o,,short,0.832
specialized,826,short,o,,short,0.848
specific,827,short,o,,short,0.805
specifically,828,short,o,,short,0.845
specified,829,short,o,,short,0.864
