word,id,neighborto,spacetime,comment,comparisonword,distance
supposedly,853,short,o,,short,0.806
surplus,854,short,o,,short,0.886
survival,855,short,o,,short,0.805
survive,856,short,o,,short,0.864
surviving,857,short,o,,short,0.851
sustained,858,short,o,,short,0.878
swift,859,short,o,,short,0.805
switching,860,short,o,,short,0.865
sword,861,short,o,,short,0.865
swords,862,short,o,,short,0.858
syllables,863,short,o,,short,0.862
synonym,864,short,o,,short,0.798
t,865,short,o,,short,0.801
take,866,short,o,,short,0.867
takes,867,short,o,,short,0.831
technique,868,short,o,,short,0.887
television,869,short,o,,short,0.853
tell,870,short,o,,short,0.877
temporary,871,short,t,,short,0.825
ten,872,short,o,,short,0.825
term,873,short,o,,short,0.796
terror,874,short,o,,short,0.871
than,875,short,o,,short,0.881
that,876,short,o,,short,0.88
the,877,short,o,,short,0.784
theater,878,short,o,,short,0.825
their,879,short,o,,short,0.838
them,880,short,o,,short,0.852
theme,881,short,o,,short,0.872
then,882,short,t,?,short,0.87
there,883,short,s,,short,0.855
therefore,884,short,o,,short,0.832
these,885,short,o,,short,0.86
they,886,short,o,,short,0.785
thick,887,short,s,,short,0.876
thin,888,short,s,,short,0.803
third,889,short,o,,short,0.763
thirty,890,short,o,,short,0.813
this,891,short,o,,short,0.8
though,892,short,o,,short,0.81
thousand,893,short,o,,short,0.844
three,894,short,o,,short,0.833
till,895,short,b,,short,0.885
time,896,short,t,,short,0.719
tin,897,short,o,,short,0.881
tiny,898,short,s,,short,0.774
title,899,short,o,,short,0.84
titled,900,short,o,,short,0.847
titles,901,short,o,,short,0.86
together,902,short,s,?,short,0.794
tone,903,short,o,,short,0.854
too,904,short,o,,short,0.84
total,905,short,o,,short,0.883
tough,906,short,o,,short,0.85
towers,907,short,o,,short,0.873
trace,908,short,o,,short,0.887
tragedy,909,short,o,,short,0.865
transitional,910,short,b,,short,0.867
travel,911,short,o,,short,0.835
travelling,912,short,o,,short,0.887
travels,913,short,o,,short,0.886
tribute,914,short,o,,short,0.882
trio,915,short,o,,short,0.88
trip,916,short,o,,short,0.834
triple,917,short,o,,short,0.811
TRUE,918,short,o,,short,0.741
truly,919,short,o,,short,0.853
turning,920,short,o,,short,0.874
tv,921,short,o,,short,0.856
twelve,922,short,o,,short,0.859
twenty,923,short,o,,short,0.858
twice,924,short,o,?,short,0.799
two,925,short,o,,short,0.889
type,926,short,o,,short,0.818
types,927,short,o,,short,0.886
typical,928,short,o,,short,0.866
typically,929,short,o,,short,0.787
uncommon,930,short,o,,short,0.885
under,931,short,s,?,short,0.864
unfinished,932,short,t,,short,0.841
unfortunately,933,short,o,,short,0.858
unique,934,short,o,,short,0.874
unit,935,short,o,,short,0.882
UNK,936,short,o,,short,0.79
unlikely,937,short,o,,short,0.838
unlimited,938,short,o,,short,0.886
unusual,939,short,o,,short,0.735
unusually,940,short,o,,short,0.867
upon,941,short,b,?,short,0.872
used,942,short,o,,short,0.764
useful,943,short,o,,short,0.871
useless,944,short,o,,short,0.873
uses,945,short,o,,short,0.845
using,946,short,o,,short,0.758
usual,947,short,o,,short,0.788
usually,948,short,t,?,short,0.809
van,949,short,o,,short,0.811
variable,950,short,o,,short,0.824
variety,951,short,o,,short,0.878
vast,952,short,s,,short,0.851
vertical,953,short,s,,short,0.821
very,954,short,o,,short,0.847
video,955,short,o,,short,0.88
visual,956,short,o,,short,0.85
waiting,957,short,o,,short,0.853
wall,958,short,o,,short,0.859
walt,959,short,o,,short,0.888
war,960,short,o,,short,0.89
warner,961,short,o,,short,0.849
was,962,short,o,,short,0.845
way,963,short,o,,short,0.833
weak,964,short,o,,short,0.811
week,965,short,t,,short,0.822
weekly,966,short,t,,short,0.87
weeks,967,short,t,,short,0.81
well,968,short,o,,short,0.875
were,969,short,o,,short,0.87
west,970,short,s,?,short,0.861
western,971,short,o,,short,0.865
when,972,short,t,,short,0.8
where,973,short,s,,short,0.774
whereas,974,short,o,,short,0.809
wherein,975,short,s,,short,0.861
which,976,short,o,,short,0.815
while,977,short,t,,short,0.83
whilst,978,short,t,,short,0.888
white,979,short,o,,short,0.858
whole,980,short,o,,short,0.748
whose,981,short,o,,short,0.787
wide,982,short,s,?,short,0.791
winning,983,short,o,,short,0.865
with,984,short,o,,short,0.866
within,985,short,b,,short,0.836
wood,986,short,o,,short,0.89
working,987,short,o,,short,0.884
works,988,short,o,,short,0.824
worlds,989,short,o,,short,0.872
write,990,short,o,,short,0.884
writer,991,short,o,,short,0.859
writers,992,short,o,,short,0.852
writing,993,short,o,,short,0.821
written,994,short,o,,short,0.786
wrote,995,short,o,,short,0.881
year,996,short,t,,short,0.838
young,997,short,o,?,short,0.818
youth,998,short,o,?,short,0.884
zone,999,short,b,,short,0.832
