word,id,spacetime,comment,comparisonword,distance
connections,159,other,,long,0.866
consequence,160,other,,long,0.875
consequently,161,time,,long,0.85
considerable,162,other,,long,0.771
considerably,163,other,,long,0.869
considering,164,other,,long,0.87
consistent,165,both,,long,0.885
consistently,166,both,,long,0.857
consisting,167,other,,long,0.854
constant,168,time,,long,0.794
contacts,169,other,,long,0.868
continuation,170,time,,long,0.863
continue,171,time,,long,0.781
continued,172,time,,long,0.787
continues,173,time,,long,0.854
continuing,174,time,,long,0.715
continuous,175,time,,long,0.823
continuously,176,time,,long,0.831
contrast,177,other,,long,0.879
convenient,178,other,,long,0.84
conventional,179,other,,long,0.764
could,180,other,,long,0.802
country,181,space,,long,0.853
couple,182,other,,long,0.852
course,183,time,,long,0.75
cover,184,other,,long,0.838
covered,185,other,,long,0.872
covering,186,other,,long,0.884
covers,187,other,,long,0.857
creature,188,other,,long,0.817
crude,189,other,,long,0.878
cure,190,other,,long,0.874
currency,191,other,,long,0.882
currently,192,time,,long,0.837
customary,193,other,,long,0.876
cut,194,other,,long,0.871
cycle,195,time,,long,0.85
daily,196,time,,long,0.882
dance,197,other,,long,0.868
dangers,198,other,,long,0.88
dark,199,other,,long,0.819
data,200,other,,long,0.875
davis,201,other,,long,0.875
days,202,time,,long,0.787
deal,203,other,,long,0.866
death,204,time,,long,0.854
decade,205,time,,long,0.78
decades,206,time,,long,0.701
decline,207,both,,long,0.817
deep,208,space,,long,0.811
definitive,209,other,,long,0.842
delay,210,time,,long,0.828
depending,211,other,,long,0.875
depression,212,space,,long,0.884
describe,213,other,,long,0.809
described,214,other,,long,0.84
describes,215,other,,long,0.828
describing,216,other,,long,0.815
